route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
85_1,FULLW,85_1_PM_3,,,,shape_2704
85_1,FULLW,85_1_PM_4,,,,shape_2705
85_1,FULLW,85_1_PM_5,,,,shape_2706
85_1,FULLW,85_1_PM_6,,,,shape_2707
85_1,FULLW,85_1_PM_7,,,,shape_2708
85_1,FULLW,85_1_PM_8,,,,shape_2709
85_1,FULLW,85_1_PM_9,,,,shape_2710
85_1,FULLW,85_1_PM_10,,,,shape_2711
85_1,FULLW,85_1_PM_11,,,,shape_2712
85_2,FULLW,85_2_PM_1,,,,shape_2713
85_2,FULLW,85_2_PM_2,,,,shape_2714
85_2,FULLW,85_2_PM_3,,,,shape_2715
85_2,FULLW,85_2_PM_4,,,,shape_2716
85_2,FULLW,85_2_PM_5,,,,shape_2717
85_2,FULLW,85_2_PM_6,,,,shape_2718
85_2,FULLW,85_2_PM_7,,,,shape_2719
85_2,FULLW,85_2_PM_8,,,,shape_2720
85_2,FULLW,85_2_PM_9,,,,shape_2721
85_2,FULLW,85_2_PM_10,,,,shape_2722
85_2,FULLW,85_2_PM_11,,,,shape_2723
86_1,FULLW,86_1_PM_1,,,,shape_2724
86_1,FULLW,86_1_PM_2,,,,shape_2725
86_1,FULLW,86_1_PM_3,,,,shape_2726
86_1,FULLW,86_1_PM_4,,,,shape_2727
86_1,FULLW,86_1_PM_5,,,,shape_2728
86_1,FULLW,86_1_PM_6,,,,shape_2729
86_1,FULLW,86_1_PM_7,,,,shape_2730
86_1,FULLW,86_1_PM_8,,,,shape_2731
86_1,FULLW,86_1_PM_9,,,,shape_2732
86_2,FULLW,86_2_PM_1,,,,shape_2733
86_2,FULLW,86_2_PM_2,,,,shape_2734
86_2,FULLW,86_2_PM_3,,,,shape_2735
86_2,FULLW,86_2_PM_4,,,,shape_2736
86_2,FULLW,86_2_PM_5,,,,shape_2737
86_2,FULLW,86_2_PM_6,,,,shape_2738
86_2,FULLW,86_2_PM_7,,,,shape_2739
86_2,FULLW,86_2_PM_8,,,,shape_2740
86_2,FULLW,86_2_PM_9,,,,shape_2741
87_1,FULLW,87_1_PM_1,,,,shape_2742
87_1,FULLW,87_1_PM_2,,,,shape_2743
87_1,FULLW,87_1_PM_3,,,,shape_2744
87_1,FULLW,87_1_PM_4,,,,shape_2745
87_1,FULLW,87_1_PM_5,,,,shape_2746
87_1,FULLW,87_1_PM_6,,,,shape_2747
87_1,FULLW,87_1_PM_7,,,,shape_2748
87_1,FULLW,87_1_PM_8,,,,shape_2749
87_1,FULLW,87_1_PM_9,,,,shape_2750
87_1,FULLW,87_1_PM_10,,,,shape_2751
87_1,FULLW,87_1_PM_11,,,,shape_2752
87_2,FULLW,87_2_PM_1,,,,shape_2753
87_2,FULLW,87_2_PM_2,,,,shape_2754
87_2,FULLW,87_2_PM_3,,,,shape_2755
87_2,FULLW,87_2_PM_4,,,,shape_2756
87_2,FULLW,87_2_PM_5,,,,shape_2757
87_2,FULLW,87_2_PM_6,,,,shape_2758
87_2,FULLW,87_2_PM_7,,,,shape_2759
87_2,FULLW,87_2_PM_8,,,,shape_2760
87_2,FULLW,87_2_PM_9,,,,shape_2761
87_2,FULLW,87_2_PM_10,,,,shape_2762
87_2,FULLW,87_2_PM_11,,,,shape_2763
88_1,FULLW,88_1_PM_1,,,,shape_2764
88_1,FULLW,88_1_PM_2,,,,shape_2765
88_1,FULLW,88_1_PM_3,,,,shape_2766
88_1,FULLW,88_1_PM_4,,,,shape_2767
88_1,FULLW,88_1_PM_5,,,,shape_2768
88_1,FULLW,88_1_PM_6,,,,shape_2769
88_1,FULLW,88_1_PM_7,,,,shape_2770
88_1,FULLW,88_1_PM_8,,,,shape_2771
88_1,FULLW,88_1_PM_9,,,,shape_2772
88_1,FULLW,88_1_PM_10,,,,shape_2773
88_1,FULLW,88_1_PM_11,,,,shape_2774
88_2,FULLW,88_2_PM_1,,,,shape_2775
88_2,FULLW,88_2_PM_2,,,,shape_2776
88_2,FULLW,88_2_PM_3,,,,shape_2777
88_2,FULLW,88_2_PM_4,,,,shape_2778
88_2,FULLW,88_2_PM_5,,,,shape_2779
88_2,FULLW,88_2_PM_6,,,,shape_2780
88_2,FULLW,88_2_PM_7,,,,shape_2781
88_2,FULLW,88_2_PM_8,,,,shape_2782
88_2,FULLW,88_2_PM_9,,,,shape_2783
88_2,FULLW,88_2_PM_10,,,,shape_2784
88_2,FULLW,88_2_PM_11,,,,shape_2785
89_1,FULLW,89_1_PM_1,,,,shape_2786
